Timestamp,Temperature(C),Humidity(%)
2025-10-07 18:47:37,21,59
2025-10-07 18:47:39,21,59
2025-10-07 18:47:41,21,59
2025-10-07 18:47:43,21,59
2025-10-07 18:47:45,21,59
2025-10-07 18:47:47,21,59
2025-10-07 18:47:49,21,59
2025-10-07 18:47:51,21,59
2025-10-07 18:47:53,21,59
2025-10-07 18:47:55,21,59
2025-10-07 18:47:57,21,59
2025-10-07 18:47:59,21,59
2025-10-07 18:48:01,21,59
2025-10-07 18:48:03,21,59
2025-10-07 18:48:05,21,59
2025-10-07 18:48:07,21,59
2025-10-07 18:48:10,21,59
2025-10-07 18:48:12,21,59
2025-10-07 18:48:14,21,59
2025-10-07 18:48:16,21,59
2025-10-07 18:48:18,21,59
2025-10-07 18:48:20,21,59
2025-10-07 18:48:22,21,59
2025-10-07 18:48:24,21,59
2025-10-07 18:48:26,21,59
2025-10-07 18:48:28,21,59
2025-10-07 18:48:30,21,59
2025-10-07 18:48:32,21,59
2025-10-07 18:48:34,21,59
2025-10-07 18:48:36,21,59
2025-10-07 18:48:38,21,59
2025-10-07 18:48:40,21,59
2025-10-07 18:48:42,21,59
2025-10-07 18:48:44,21,59
2025-10-07 18:48:46,21,59
2025-10-07 18:48:48,21,59
2025-10-07 18:48:50,21,59
2025-10-07 18:48:53,21,59
2025-10-07 18:48:55,21,59
2025-10-07 18:48:57,21,59
2025-10-07 18:48:59,21,59
2025-10-07 18:49:01,21,59
2025-10-07 18:49:03,21,59
2025-10-07 18:49:05,21,59
2025-10-07 18:49:07,21,59
2025-10-07 18:49:09,21,59
2025-10-07 18:49:11,21,59
2025-10-07 18:49:14,21,59
2025-10-07 18:49:15,21,59
2025-10-07 18:49:17,21,59
2025-10-07 18:49:19,21,59
2025-10-07 18:49:21,21,58
2025-10-07 18:49:23,21,58
2025-10-07 18:49:25,21,58
2025-10-07 18:49:27,21,58
2025-10-07 18:49:29,21,58
2025-10-07 18:49:31,21,58
2025-10-07 18:49:33,21,58
2025-10-07 18:49:36,21,58
2025-10-07 18:49:38,21,58
2025-10-07 18:49:40,21,58
2025-10-07 18:49:42,21,58
2025-10-07 18:49:44,21,58
2025-10-07 18:49:46,21,58
2025-10-07 18:49:48,21,58
2025-10-07 18:49:50,21,58
2025-10-07 18:49:52,21,58
2025-10-07 18:49:54,21,58
2025-10-07 18:49:56,21,58
2025-10-07 18:49:58,21,58
2025-10-07 18:50:00,21,58
2025-10-07 18:50:02,21,58
2025-10-07 18:50:04,21,58
2025-10-07 18:50:06,21,58
2025-10-07 18:50:08,21,58
2025-10-07 18:50:10,21,58
2025-10-07 18:50:12,21,58
2025-10-07 18:50:14,21,58
2025-10-07 18:50:16,21,58
2025-10-07 18:50:19,21,58
2025-10-07 18:50:21,21,58
2025-10-07 18:50:23,21,58
2025-10-07 18:50:25,21,58
2025-10-07 18:50:27,21,58
2025-10-07 18:50:29,21,58
2025-10-07 18:50:31,21,58
2025-10-07 18:50:33,21,58
2025-10-07 18:50:35,21,58
2025-10-07 18:50:37,21,58
2025-10-07 18:50:39,21,58
2025-10-07 18:50:41,21,58
2025-10-07 18:50:43,21,58
2025-10-07 18:50:45,21,58
2025-10-07 18:50:47,21,58
2025-10-07 18:50:49,21,58
2025-10-07 18:50:51,21,58
2025-10-07 18:50:53,21,58
2025-10-07 18:50:55,21,58
2025-10-07 18:50:57,22,58
2025-10-07 18:50:59,21,58
2025-10-07 18:51:02,22,58
2025-10-07 18:51:04,22,58
2025-10-07 18:51:06,22,58
2025-10-07 18:51:08,22,58
2025-10-07 18:51:10,22,58
2025-10-07 18:51:12,22,58
2025-10-07 18:51:14,22,58
2025-10-07 18:51:16,22,58
2025-10-07 18:51:18,22,58
2025-10-07 18:51:20,22,58
2025-10-07 18:51:22,22,58
2025-10-07 18:51:24,22,58
2025-10-07 18:51:26,22,58
2025-10-07 18:51:28,22,58
2025-10-07 18:51:30,22,58
2025-10-07 18:51:32,22,58
2025-10-07 18:51:34,22,58
2025-10-07 18:51:36,22,58
2025-10-07 18:51:38,22,58
2025-10-07 18:51:40,22,58
2025-10-07 18:51:42,22,58
2025-10-07 18:51:45,22,58
2025-10-07 18:51:47,22,58
2025-10-07 18:51:49,22,58
